date,workload,energy_kwh,baseline_region,baseline_carbon_g,carbon_aware_region,carbon_aware_carbon_g,carbon_saving_g,carbon_saving_pct
2020-07-08,708643.0,354.3215,west_europe,88580.375,north_europe,35432.15,53148.225,60.0
2020-07-09,682559.0,341.2795,west_europe,85319.875,north_europe,34127.95,51191.925,60.00000000000001
2020-07-10,619063.0,309.5315,west_europe,77382.875,north_europe,30953.15,46429.725,60.0
2020-07-11,667570.0,333.785,west_europe,83446.25,north_europe,33378.5,50067.75,60.0
2020-07-12,644347.0,322.1735,west_europe,80543.375,north_europe,32217.35,48326.025,60.0
2020-07-13,696960.0,348.48,west_europe,87120.0,north_europe,34848.0,52272.0,60.0
2020-07-14,669346.0,334.673,west_europe,83668.25,north_europe,33467.3,50200.95,60.0
2020-07-15,792020.0,396.01,west_europe,99002.5,north_europe,39601.0,59401.5,60.0
2020-07-16,817976.0,408.988,west_europe,102247.0,north_europe,40898.8,61348.2,60.0
2020-07-17,729008.0,364.504,west_europe,91126.0,north_europe,36450.4,54675.6,60.0
2020-07-18,755969.0,377.9845,west_europe,94496.125,north_europe,37798.45,56697.675,60.0
2020-07-19,674953.0,337.4765,west_europe,84369.125,north_europe,33747.65,50621.475,60.0
2020-07-20,644180.0,322.09000000000003,west_europe,80522.50000000001,north_europe,32209.000000000004,48313.500000000015,60.00000000000001
2020-07-21,769921.0,384.9605,west_europe,96240.125,north_europe,38496.05,57744.075,60.0
2020-07-22,1086491.0,543.2455,west_europe,135811.375,north_europe,54324.55,81486.825,60.0
2020-07-23,873807.0,436.9035,west_europe,109225.875,north_europe,43690.35,65535.525,60.0
2020-07-24,888843.0,444.4215,west_europe,111105.375,north_europe,44442.15,66663.225,60.00000000000001
2020-07-25,749087.0,374.5435,west_europe,93635.875,north_europe,37454.35,56181.525,60.0
2020-07-26,716098.0,358.04900000000004,west_europe,89512.25000000001,north_europe,35804.9,53707.35000000001,60.00000000000001
2020-07-27,803003.0,401.5015,west_europe,100375.375,north_europe,40150.15,60225.225,60.0
2020-07-28,806551.0,403.2755,west_europe,100818.875,north_europe,40327.55,60491.325,60.0
2020-07-29,890214.0,445.107,west_europe,111276.75,north_europe,44510.7,66766.05,60.0
2020-07-30,838661.0,419.3305,west_europe,104832.625,north_europe,41933.05,62899.575,60.0
2020-07-31,832885.0,416.4425,west_europe,104110.625,north_europe,41644.25,62466.375,60.0
2020-08-01,802354.0,401.177,west_europe,100294.25,north_europe,40117.7,60176.55,60.0
2020-08-02,788684.0,394.342,west_europe,98585.5,north_europe,39434.2,59151.3,60.0
2020-08-03,750524.0,375.262,west_europe,93815.5,north_europe,37526.2,56289.3,60.0
2020-08-04,748311.0,374.1555,west_europe,93538.875,north_europe,37415.55,56123.325,60.0
2020-08-05,949540.0,474.77,west_europe,118692.5,north_europe,47477.0,71215.5,60.0
2020-08-06,809657.0,404.8285,west_europe,101207.125,north_europe,40482.85,60724.275,60.0
2020-08-07,959009.0,479.5045,west_europe,119876.125,north_europe,47950.45,71925.675,60.0
2020-08-08,830462.0,415.231,west_europe,103807.75,north_europe,41523.1,62284.65,60.0
2020-08-09,704541.0,352.2705,west_europe,88067.625,north_europe,35227.05,52840.575,60.0
2020-08-10,756442.0,378.221,west_europe,94555.25,north_europe,37822.1,56733.15,60.0
2020-08-11,828982.0,414.491,west_europe,103622.75,north_europe,41449.1,62173.65,60.0
2020-08-12,789943.0,394.9715,west_europe,98742.875,north_europe,39497.15,59245.725,60.0
2020-08-13,1094936.0,547.468,west_europe,136867.0,north_europe,54746.8,82120.2,60.0
2020-08-14,856832.0,428.416,west_europe,107104.0,north_europe,42841.6,64262.4,60.0
2020-08-15,831767.0,415.8835,west_europe,103970.875,north_europe,41588.350000000006,62382.524999999994,60.0
2020-08-16,606023.0,303.0115,west_europe,75752.875,north_europe,30301.15,45451.725,60.0
2020-08-17,708261.0,354.1305,west_europe,88532.625,north_europe,35413.05,53119.575,60.0
2020-08-18,770381.0,385.1905,west_europe,96297.625,north_europe,38519.05,57778.575,60.0
2020-08-19,882646.0,441.323,west_europe,110330.75,north_europe,44132.3,66198.45,60.0
2020-08-20,882161.0,441.0805,west_europe,110270.125,north_europe,44108.05,66162.075,60.0
2020-08-21,692625.0,346.3125,west_europe,86578.125,north_europe,34631.25,51946.875,60.0
2020-08-22,863518.0,431.759,west_europe,107939.75,north_europe,43175.9,64763.85,60.0
2020-08-23,551268.0,275.634,west_europe,68908.5,north_europe,27563.4,41345.1,60.0
2020-08-24,753636.0,376.818,west_europe,94204.5,north_europe,37681.8,56522.7,60.0
2020-08-25,856787.0,428.3935,west_europe,107098.375,north_europe,42839.35,64259.025,60.0
2020-08-26,858044.0,429.022,west_europe,107255.5,north_europe,42902.2,64353.3,60.0
2020-08-27,893665.0,446.8325,west_europe,111708.125,north_europe,44683.25,67024.875,60.0
2020-08-28,791222.0,395.611,west_europe,98902.75,north_europe,39561.1,59341.65,60.0
2020-08-29,813332.0,406.666,west_europe,101666.5,north_europe,40666.6,60999.9,60.0
2020-08-30,734087.0,367.0435,west_europe,91760.875,north_europe,36704.35,55056.525,60.0
2020-08-31,805452.0,402.726,west_europe,100681.5,north_europe,40272.6,60408.9,60.0
2020-09-01,802913.0,401.4565,west_europe,100364.125,north_europe,40145.65,60218.475,60.0
2020-09-02,888451.0,444.2255,west_europe,111056.375,north_europe,44422.55,66633.825,60.0
2020-09-03,911989.0,455.9945,west_europe,113998.625,north_europe,45599.45,68399.175,60.0
2020-09-04,856785.0,428.3925,west_europe,107098.125,north_europe,42839.25,64258.875,60.0
2020-09-05,890211.0,445.1055,west_europe,111276.375,north_europe,44510.55,66765.825,60.0
2020-09-06,727602.0,363.801,west_europe,90950.25,north_europe,36380.1,54570.15,60.0
2020-09-07,707049.0,353.5245,west_europe,88381.125,north_europe,35352.45,53028.675,60.0
2020-09-08,696274.0,348.137,west_europe,87034.25,north_europe,34813.7,52220.55,60.00000000000001
2020-09-09,950010.0,475.005,west_europe,118751.25,north_europe,47500.5,71250.75,60.0
2020-09-10,1101566.0,550.783,west_europe,137695.75,north_europe,55078.3,82617.45,60.0
2020-09-11,1014343.0,507.1715,west_europe,126792.875,north_europe,50717.15,76075.725,60.00000000000001
2020-09-12,848899.0,424.4495,west_europe,106112.375,north_europe,42444.95,63667.425,60.0
2020-09-13,812594.0,406.297,west_europe,101574.25,north_europe,40629.7,60944.55,60.0
2020-09-14,898205.0,449.1025,west_europe,112275.625,north_europe,44910.25,67365.375,60.0
2020-09-15,966147.0,483.0735,west_europe,120768.375,north_europe,48307.350000000006,72461.025,60.0
2020-09-16,1022313.0,511.1565,west_europe,127789.125,north_europe,51115.65,76673.475,60.00000000000001
2020-09-17,989550.0,494.775,west_europe,123693.75,north_europe,49477.5,74216.25,60.0
2020-09-18,1001536.0,500.768,west_europe,125192.0,north_europe,50076.8,75115.2,60.0
2020-09-19,857729.0,428.8645,west_europe,107216.125,north_europe,42886.45,64329.675,60.0
2020-09-20,838322.0,419.161,west_europe,104790.25,north_europe,41916.1,62874.15,60.0
2020-09-21,883866.0,441.933,west_europe,110483.25,north_europe,44193.3,66289.95,60.0
2020-09-22,963266.0,481.633,west_europe,120408.25,north_europe,48163.3,72244.95,60.0
2020-09-23,1007408.0,503.704,west_europe,125926.0,north_europe,50370.4,75555.6,60.00000000000001
2020-09-24,1027536.0,513.768,west_europe,128442.0,north_europe,51376.8,77065.2,60.0
2020-09-25,924293.0,462.1465,west_europe,115536.625,north_europe,46214.65,69321.975,60.00000000000001
2020-09-26,889199.0,444.5995,west_europe,111149.875,north_europe,44459.95,66689.925,60.0
2020-09-27,708104.0,354.052,west_europe,88513.0,north_europe,35405.200000000004,53107.799999999996,60.0
2020-09-28,906896.0,453.448,west_europe,113362.0,north_europe,45344.8,68017.2,60.0
2020-09-29,958926.0,479.463,west_europe,119865.75,north_europe,47946.3,71919.45,60.0
2020-09-30,1055699.0,527.8495,west_europe,131962.375,north_europe,52784.95,79177.425,60.0
2020-10-01,1000895.0,500.4475,west_europe,125111.875,north_europe,50044.75,75067.125,60.0
2020-10-02,995772.0,497.886,west_europe,124471.5,north_europe,49788.600000000006,74682.9,60.0
2020-10-03,815592.0,407.796,west_europe,101949.0,north_europe,40779.6,61169.4,60.0
