date,workload
2021-10-25,699787.0
2021-10-26,1252130.0
2021-10-27,1350368.0
2021-10-28,1450216.0
2021-10-29,1314989.0
2021-10-30,1280873.0
2021-10-31,1031639.0
2021-11-01,706781.0
2021-11-02,1315310.0
2021-11-03,1354830.0
2021-11-04,2312183.0
2021-11-05,1042267.0
2021-11-06,596710.0
2021-11-07,1163465.0
2021-11-08,1216513.0
2021-11-09,1549764.0
2021-11-10,1528421.0
2021-11-11,1655030.0
2021-11-12,1804695.0
2021-11-13,744005.0
2021-11-14,759153.0
2021-11-15,1611042.0
2021-11-16,2092333.0
2021-11-17,951726.0
2021-11-18,1133413.0
2021-11-19,1238257.0
2021-11-20,1112447.0
2021-11-21,1429113.0
2021-11-22,1522111.0
2021-11-23,2196845.0
2021-11-24,2017664.0
2021-11-25,1576820.0
2021-11-26,1842773.0
2021-11-27,1746691.0
2021-11-28,1354066.0
2021-11-29,1614114.0
2021-11-30,2184421.0
2021-12-01,2197339.0
2021-12-02,2320480.0
2021-12-03,1827298.0
2021-12-04,1943173.0
2021-12-05,1636271.0
2021-12-06,1748706.0
2021-12-07,2028003.0
2021-12-08,2275993.0
2021-12-09,2278905.0
2021-12-10,2091868.0
2021-12-11,1754855.0
2021-12-12,1399238.0
2021-12-13,1105282.0
2021-12-14,2692361.0
2021-12-15,2851900.0
2021-12-16,1409423.0
2021-12-17,2003435.0
2021-12-18,990251.0
2021-12-19,1949282.0
2021-12-20,1342407.0
2021-12-21,2183748.0
2021-12-22,1598421.0
2021-12-23,4278384.0
2021-12-24,2405909.0
2021-12-25,2567517.0
2021-12-26,2088589.0
2021-12-27,2306661.0
2021-12-28,4840364.0
2021-12-29,5602852.0
2021-12-30,3078129.0
2021-12-31,3606860.0
2022-01-01,1967041.0
2022-01-02,5293468.0
2022-01-03,5705857.0
2022-01-04,6589174.0
2022-01-05,8320632.0
2022-01-06,8270116.0
2022-01-07,7485458.0
2022-01-08,7384582.0
2022-01-09,9481275.0
2022-01-10,5252965.0
2022-01-11,11444672.0
